,question,answer,link
0, What is the primary purpose of the LBNF/DUNE Procurement Plan? , The primary purpose of the LBNF/DUNE Procurement Plan is to describe the procurement processes and methods to acquire the goods and services necessary to support the development of the Long Baseline Neutrino Facilities (LBNF) for the Deep Underground Neutrino Experiment (DUNE). ," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=81&filename=LBNF-DUNE%20Procurement%20Plan%20-%20May%202020.pdf&version=13.

"
1, What are the main scientific goals of the DUNE experiment? ," The main scientific goals of the DUNE experiment include studying CP violation and mass hierarchy in the lepton sector, searching for proton decay, and searching for neutrinos from supernovae. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=97&filename=dune-underground-vk-v3.pdf&version=4.

"
2, What is the role of the Co-Spokespersons in the DUNE collaboration? ," The Co-Spokespersons are the scientific leaders and representatives of the collaboration, responsible for preparing agendas for collaboration meetings, working closely with the Executive Board on major collaboration matters, and bearing authority and responsibilities for the day-to-day matters of the collaboration. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=1&filename=GDC_v9.pdf&version=17.

"
3, What is the significance of the 1300 km baseline for the DUNE experiment? ," The 1300 km baseline is significant for the DUNE experiment because it allows for the study of neutrino oscillations over a long distance, which is optimal for measuring CP violation, mass ordering, and the θ23 octant in a long-baseline experiment. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=29&filename=ahep.pdf&version=5.

"
4, What is the purpose of the Interface Control Document (ICD) in the context of LBNF/DUNE? ," The purpose of the Interface Control Document (ICD) is to provide complete information about the technical and programmatic interfaces between different entities involved in the LBNF/DUNE project, ensuring proper configuration management and change control. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=71&filename=Interface%20Control%20Document%2071.pdf&version=3.

"
5, What is the primary focus of the DUNE Near Detector Strategy? ," The primary focus of the DUNE Near Detector Strategy is to constrain systematic uncertainties for the DUNE oscillation analysis, which drives the design and implies the capability to precisely measure exclusive neutrino interactions, resulting in a self-contained non-oscillation neutrino physics program. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=41&filename=DUNE%20Physics.pdf&version=6.

"
6, What are the main components of the LBNF Neutrino Beam? ," The main components of the LBNF Neutrino Beam include a high-power, wide-band, tunable neutrino beam at Fermilab, underground and surface facilities to host a highly-capable near detector, and a primary beamline to transport protons to the target to create the neutrino beam. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=48&filename=LBNF%20Neutrino%20Beam.pdf&version=5.

"
7, What is the role of the DUNE Technical Board? ," The DUNE Technical Board functions as the DUNE Change Control Board, making recommendations to the DUNE Executive Board regarding proposed changes that affect the Project baseline cost, schedule, and technical specifications. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=82&filename=2019-10-14-LBNF%20DUNE%20Configuration%20Management%20Plan.docx&version=10.

"
8, What is the purpose of the DUNE Photon Detector Designs? ," The purpose of the DUNE Photon Detector Designs is to develop a light guide photon detector for the DUNE LAr TPC, which involves exploring various designs and testing their performance to ensure effective photon detection in the experiment. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=38&filename=DPF-DUNE-PhotoDet-150804.pdf&version=3.

"
9, What are the responsibilities of the LBNF/DUNE Change Control Board? ," The responsibilities of the LBNF/DUNE Change Control Board include considering whether changes accommodate project interfaces, are sufficiently described and justified, have technical, cost, and schedule merit, and are ready for recommendation to the next level. ", https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=49&filename=2024-09-29%20Systems%20Engineering%20Management%20Plan.docx&version=24.
10, What is the primary purpose of the 35-ton DAQ system at PC4? , The primary purpose of the 35-ton DAQ system at PC4 is to address the networking needs of the prototype’s DAQ system and to support data movement from the PC4 to the central Fermilab’s computing and storage resources. ," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=94&filename=35-ton-daq.pdf&version=1.

"
11, What are the main components of the DUNE far detector? ," The DUNE far detector is a 40 kt fiducial mass liquid argon time-projection chamber (LAr TPC), divided into four independent 10 kt modules, each housed in its own cavern. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=41&filename=WG1-Strait-DUNE_Physics.pdf&version=6.

"
12, What is the role of the Institutional Board (IB) in the DUNE collaboration? ," The Institutional Board (IB) is responsible for establishing governance rules of the DUNE collaboration and regulating governance-related issues, including admission of new collaborating institutions and members, oversight of Co-Spokesperson election process, and approval of common funds assessments. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=1&filename=GDC_v9.docx&version=17.

"
13, What is the significance of the Interface Control Documents (ICDs) in the LBNF/DUNE project? ," Interface Control Documents (ICDs) are used to identify and document interface boundaries and responsibilities around the boundaries between two entities, ensuring that subsystems on both sides of the interface clearly understand their scope of work and deliverables. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=49&filename=2024-09-29%20Systems%20Engineering%20Management%20Plan.pdf&version=24.

"
14, What is the primary scientific goal of the DUNE experiment? ," The primary scientific goal of the DUNE experiment is to address fundamental open questions in particle physics and astroparticle physics, including neutrino oscillation physics to search for CP violation in the leptonic sector, determine the ordering of the neutrino mass eigenstates, and make precision measurements of oscillation parameters. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=41&filename=WG1-Strait-DUNE_Physics.pdf&version=6.

"
15, What are the responsibilities of the Speakers Committee in the DUNE collaboration? , The primary functions of the Speakers Committee are to ensure that the DUNE Collaboration is well represented at international conferences and to manage the assignment of DUNE speakers for all presentations given on behalf of the DUNE Collaboration at international conferences and workshops. ," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=57&filename=DUNE_Speakers_Committee_Rulesv1.5.docx&version=3.

"
16, What is the purpose of the LBNF/DUNE Preliminary Hazard Analysis Report? ," The purpose of the LBNF/DUNE Preliminary Hazard Analysis Report is to identify potential hazards associated with the LBNF/DUNE project, assess the risks, and outline mitigation strategies to ensure safety during the project's operation. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=92&filename=LBNF-DUNE_PHAR-20150623.pdf&version=1.

"
