,question,answer,link
0, What is the purpose of the Muon Monitors Working Group as outlined in the document? ," The goals of the Muon Monitors Working Group are to evaluate requirements for neutrino beam monitoring and potential for neutrino flux, document the current design and ongoing work in detector development and tests, and simulate the response in the LBNF beamline to evaluate the muon monitoring system’s performance. "," https://indico.fnal.gov/event/10591/contributions/3770/attachments/2525/3023/MuonsUpdate.pdf

"
1, What are the primary goals of the Muon Monitors as mentioned in the document? , The primary goals of the Muon Monitors are to determine the absolute muon flux greater than 6 GeV to 5% accuracy and to measure the beam direction to within 0.2 mrad. ," https://indico.fnal.gov/event/10591/contributions/3770/attachments/2525/3023/MuonsUpdate.pdf

"
2, What are the three types of detectors mentioned for the Muon Monitors? ," The three types of detectors mentioned for the Muon Monitors are Ionization Counters, Cherenkov Counters, and Stopped Muon Counters. "," https://indico.fnal.gov/event/10591/contributions/3770/attachments/2525/3023/MuonsUpdate.pdf

"
3, What is the main challenge in beam optimization as described in the document? ," The main challenge in beam optimization is the large parameter space, as a reference design has about 40 parameters, making multidimensional optimization challenging due to the slow speed of GEANT4 simulation. "," https://indico.fnal.gov/event/10797/contributions/5267/attachments/3810/5070/2015-11-04_Plan_for_Beam_Optimization_at_Berkeley.pdf

"
4, What is the purpose of the Beam Simulation Group as outlined in the document? ," The purpose of the Beam Simulation Group is to collaborate with the Beam Interface WG and Beam Optimization Task Force to build tools needed for and to execute beam optimization and other beam studies, and to provide beam flux simulations and systematic uncertainties for beam-based physics studies. "," https://indico.fnal.gov/event/10438/contributions/2644/attachments/1777/2071/DUNE_BeamSim_24Sept2015.pdf

"
5, What are the engineering considerations for the three-horn optimized design as provided by Cory Crowley? ," The engineering considerations include acceptable horn lengths, the need for thicker neck walls due to joule heating, the requirement for welds and spider supports, and the potential need for nickel plating due to size constraints. "," https://indico.fnal.gov/event/11316/contributions/7817/attachments/5241/6850/DUNE_BeamMeeting_21January2016.pdf

"
6, What are the two main factors limiting conductor thickness as mentioned in the document? , The two main factors limiting conductor thickness are magnetic forces and resistive heating. ," https://indico.fnal.gov/event/10875/contributions/5668/attachments/4047/5339/DUNE_BeamSim_19Nov2015.pdf

"
7, What is the proposed method for implementing a realistic material description in the optimization process? ," The proposed method involves taking the output of optimization and implementing a ""one-off"" realistic design, and in parallel, adding material to horns used in optimization in very simple ways to approximate real conditions. "," https://indico.fnal.gov/event/10797/contributions/5269/attachments/3811/5071/DUNE_BeamSim_5Nov2015.pdf

"
8, What is the main goal of the Beam Optimization at Berkeley as described in the document? , The main goal of the Beam Optimization at Berkeley is to maximize CP sensitivity using G4LBNE Geant4 simulation and FastMC sensitivity based on a simplified detector response model. ," https://indico.fnal.gov/event/10797/contributions/5267/attachments/3810/5070/2015-11-04_Plan_for_Beam_Optimization_at_Berkeley.pdf

"
9, What are the main components of the Near Term Plans for the Beam Simulation Group? ," The main components include producing flux uncertainties and correlations using external data constraints, adding a full-FLUKA option to the DUNE beam simulation, facilitating beam design optimization, and developing a Fast MC Interface. ", https://indico.fnal.gov/event/10438/contributions/2644/attachments/1777/2071/DUNE_BeamSim_24Sept2015.pdf
10, What is the purpose of using CST Studio in the context of the DUNE experiment? ," The purpose of using CST Studio is to simulate the skin effect to get fairly accurate results, tested with different frequency, material, and resistivity. "," https://indico.fnal.gov/event/11316/contributions/7818/attachments/5240/6849/CST_Skin_Depth.pdf

"
11, What was the best fitness result achieved in the cylindrical target optimization compared to the reference? ," The best fitness result achieved in the cylindrical target optimization was 1.98, compared to the reference of 1.47. "," https://indico.fnal.gov/event/11383/contributions/8081/attachments/5383/7037/DUNE_BeamSim_29January2015.pdf

"
12, What is the main difference between the cylindrical target optimum and the NuMI-style target optimum? ," The main difference is that the cylindrical target has a longer horn A (nearly 4 m), runs at 108 GeV proton momentum, and 269 kA. "," https://indico.fnal.gov/event/11383/contributions/8081/attachments/5383/7037/DUNE_BeamSim_29January2015.pdf

"
13, What is the goal of the beam matrix method presented in the abstract submitted by Amit Bashyal? , The goal of the beam matrix method is to predict the Far Detector flux from the Near Detector flux for the DUNE beamline and study the sensitivity to different physics models of the flux. ," https://indico.fnal.gov/event/11383/contributions/8083/attachments/5382/7036/ICHEP_Abstracts.docx

"
14, What is the purpose of the gas-filled RF hadron monitor proposed by K. Yonehara? ," The purpose of the gas-filled RF hadron monitor is to provide a radiation robust and accurate hadron profile monitor for multi-MW beams, without space charge effect. "," https://indico.fnal.gov/event/11447/contributions/8486/attachments/5678/7363/progress020416.pptx

"
15, What was the main finding regarding the muon flux when removing the spoiler in the muon monitor simulations? ," Removing the spoiler seems to have a much more obvious effect on the muon flux compared to removing scalloping, which changes the spatial distribution but doesn't significantly affect the total number. "," https://indico.fnal.gov/event/11532/contributions/8765/attachments/5859/7586/MuonMonitorsUpdate.pdf

"
16, What are the main components displayed in the Horn 1 mechanical model? ," The main components displayed in the Horn 1 mechanical model are conductors, transitions, connecting ceramics/flange, and current equalization lengths. "," https://indico.fnal.gov/event/11532/contributions/8766/attachments/5858/7585/LBNF_Mechanical_Horn_Models_Final.pptx

"
17, What is the goal of the analysis conducted by Kimoi S. Kemboi and Eric Amador on the 3-horn design? ," The goal of the analysis is to investigate the effects of realistic materials on neutrino flux for the new 3-horn system, specifically the effects of changing the outer conductor radius and inner conductor thickness on neutrino flux. "," https://indico.fnal.gov/event/11605/contributions/9065/attachments/6008/7756/Optimized_3horn.pdf

"
18, What conclusion did Lei Zang reach regarding the current equalization structure in the horn design? ," Lei Zang concluded that the current equalization structure could be shorter, potentially as short as 15-20 inches, if uniform distribution is the only consideration. "," https://indico.fnal.gov/event/11605/contributions/9066/attachments/6007/7755/Current_in_Equalization_Structure2.pdf

"
19, What was the effect of increasing the horn endcap thickness on muon neutrino flux in the endcap material studies? ," Increasing the horn endcap thickness had varying effects on muon neutrino flux, with the Horn A downstream endcap showing not much effect, while the Horn B upstream endcap had more effect, but still quite small in the critical 2-4 GeV interval. ", https://indico.fnal.gov/event/11671/contributions/9418/attachments/6216/8003/DUNE_BeamSim_10March2016.pdf
20," What modifications were made to the muon monitor simulation, and what issues were encountered? "," Modifications included adding an ""alcove"" behind the absorber and a muon tracking plane. Issues encountered included difficulty with absorber layers centered on the beam center and no electrons or photons found in the tracking plane. "," https://indico.fnal.gov/event/11671/contributions/9419/attachments/6215/8002/MuonMonitorsUpdate.pdf

"
