,question,answer,link
0, What are the primary scientific goals of the DUNE experiment? ," The primary scientific goals of the DUNE experiment include studying CP violation and mass hierarchy in the lepton sector using a multi-kilotonne liquid argon underground detector and a high-intensity neutrino beam from Fermilab, searching for proton decay, searching for neutrinos from supernovae, and conducting an ancillary science program including precise atmospheric neutrino measurements to complement beam neutrino physics. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=97&filename=dune-underground-vk-v3.pdf&version=4.

"
1, What is the purpose of the Change Control Board (CCB) in the LBNF/DUNE project? ," The Change Control Board (CCB) considers whether changes accommodate project interfaces, are sufficiently described and justified, have technical, cost, and schedule merit, and are ready for recommendation to the next level. The CCB makes recommendations to the LBNF Project Director on changes that affect the Project baseline cost, schedule, and technical specifications. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=49&filename=2024-09-29%20Systems%20Engineering%20Management%20Plan.pdf&version=24.

"
2, What are the main components of the DUNE Far Detector design? ," The DUNE Far Detector design includes four similar modules, each with a total/active/fiducial mass of 17.1/13.8/11.6 kt. The design allows for staged construction and flexibility in technology choice, with a single-phase as the baseline design and a two-phase as an alternative design. Photon detection is used for initial time reconstruction for underground physics. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=97&filename=dune-underground-vk-v3.pdf&version=4.

"
3, What is the role of the LBNF/DUNE Risk Manager? ," The LBNF/DUNE Risk Manager guides the LBNF/DUNE teams in the risk management process, using a risk register, applying the Fermilab Project Risk Management Procedure, evaluating risks through a Monte Carlo analysis, and other standard risk management processes. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=49&filename=2024-09-29%20Systems%20Engineering%20Management%20Plan.pdf&version=24.

"
4, How does the DUNE experiment plan to study neutrinos from supernovae? ," The DUNE experiment plans to study neutrinos from supernovae by detecting a burst of neutrinos emitted during the core collapse of massive stars. The liquid argon detectors are sensitive predominantly to electron neutrinos, allowing for complementary studies to other experiments. The burst of neutrinos provides a unique opportunity to test collapse models and is complementary to other detectors. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=97&filename=dune-underground-vk-v3.pdf&version=4.

"
5, What is the significance of the DUNE experiment's capability to detect proton decay? ," The significance of the DUNE experiment's capability to detect proton decay lies in its potential to test grand unified theories (GUTs) that predict baryon number violation, which is physics beyond the standard model. The experiment aims to improve sensitivity to certain decay modes, such as those motivated by supersymmetry, by utilizing the strengths of liquid argon detectors. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=97&filename=dune-underground-vk-v3.pdf&version=4.

"
6, What are the main challenges in simulating cosmic muons for the DUNE experiment? ," The main challenges in simulating cosmic muons for the DUNE experiment include handling the large number of cosmic muons, about 68 within the readout window, and ensuring that most of these muons can be easily vetoed. The simulation effort overlaps with the calibration group, and many existing tools need to be adapted for DUNE. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=16&filename=Milestones_for_2015.pdf&version=1.

"
7, How does the DUNE experiment plan to achieve precision in neutrino oscillation measurements? ," The DUNE experiment plans to achieve precision in neutrino oscillation measurements by using a high-intensity wide-band neutrino beam originating at Fermilab, a highly capable near detector to constrain systematic errors, and a large fiducial mass liquid argon far detector located 1300 km away at the Sanford Underground Research Facility. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=80&filename=DUNE-Nowak.pdf&version=2.

"
8, What is the purpose of the photon detection system in the DUNE Far Detector? ," The purpose of the photon detection system in the DUNE Far Detector is to provide initial time reconstruction for underground physics, which is crucial for identifying and analyzing neutrino interactions and other rare events. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=97&filename=dune-underground-vk-v3.pdf&version=4.

"
9, What are the expected benefits of using liquid argon detectors in the DUNE experiment? ," The expected benefits of using liquid argon detectors in the DUNE experiment include improved event reconstruction capabilities, particularly for proton decay modes that are difficult to detect with other technologies, and enhanced sensitivity to electron neutrinos from supernovae, providing complementary data to other neutrino detection methods. ", https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=97&filename=dune-underground-vk-v3.pdf&version=4.
